"State","State_Abb","Breast_1999_1k","Breast_2000_1k","Breast_2001_1k","Breast_2002_1k","Breast_2003_1k","Breast_2004_1k","Breast_2005_1k","Breast_2006_1k","Breast_2007_1k","Breast_2008_1k","Breast_2009_1k","Breast_2010_1k","Breast_2011_1k","Prostate_1999_1k","Prostate_2000_1k","Prostate_2001_1k","Prostate_2002_1k","Prostate_2003_1k","Prostate_2004_1k","Prostate_2005_1k","Prostate_2006_1k","Prostate_2007_1k","Prostate_2008_1k","Prostate_2009_1k","Prostate_2010_1k","Prostate_2011_1k"
"Hawaii","HI",0.619205514944409,0.554396746599829,0.648087683445798,0.639634365835635,0.609343311065886,0.620614401212769,0.613569969870967,0.591732232711381,0.646678797177437,0.678378738215547,0.734734188949964,0.759389698646272,0.740369734023406,0.55651007600237,0.568485609283433,0.565667836746713,0.49240575079197,0.55580563286819,0.595254448382281,0.595958891516462,0.638225479567275,0.628363275688752,0.606525538529165,0.572007824954334,0.541716770184585,0.562850064209992
"Idaho","ID",0.503528985649118,0.525554554887719,0.517600877107113,0.553698337803708,0.501081700178162,0.467431524952523,0.495575307868512,0.576335728410048,0.591019441235781,0.578171192513264,0.603255868590559,0.614880474577599,0.615492295945337,0.518824519842591,0.616104117313076,0.627728723300115,0.611209546371165,0.607538618164732,0.626505080564638,0.663826183996711,0.726231963506079,0.795979599428314,0.707265501106173,0.719501928460951,0.711548250680345,0.733573819918946
"Illinois","IL",0.708508467786388,0.689642857697402,0.704238473733326,0.687701951309646,0.63917929161575,0.64919436857657,0.664255802145556,0.693291761706383,0.69562084937169,0.708663740297409,0.724035718888435,0.729703165540682,0.750587318272935,0.651445819986367,0.656492176594532,0.695931394393731,0.720076269857413,0.664721619678617,0.653852543907184,0.643526921924323,0.69888157210312,0.759515487656612,0.757031127480284,0.739951151268033,0.648029824743917,0.654240725184735
"Indiana","IN",0.666832907499104,0.643488450178153,0.669864655203123,0.661527349017069,0.605591603877908,0.606046366033511,0.614535259604766,0.63985035293333,0.649551945586192,0.660769412091065,0.688509903582844,0.677595611848373,0.675321801070358,0.517367745690939,0.563905072947639,0.599376521084668,0.568301107118468,0.584217782564571,0.578609049312134,0.579366986238139,0.624236852257629,0.634696381836496,0.596041598610247,0.566936820651659,0.526008226647395,0.539347916545081
"Iowa","IA",0.754716738233339,0.71094638582407,0.745705195090254,0.745061513437176,0.695176185323672,0.696141707803288,0.702578524334063,0.703865887640218,0.71352111243638,0.70837165921176,0.750210966661796,0.762440918070268,0.76694668964181,0.725751063844852,0.752785693274106,0.733153402855243,0.742486786824866,0.671359964159806,0.687773846313281,0.696463548629827,0.736371811120631,0.734118925334859,0.694854344497133,0.739590219386018,0.69839459358906,0.711911908303686
"Kansas","KS",0.696620306809076,0.689044604016293,0.699030757697689,0.691455054904906,0.642212986751818,0.639113835609316,0.655298291575715,0.703851659474914,0.67630364931934,0.675614949065451,0.682501951604344,0.675614949065451,0.704540359728804,0.705917760236582,0.6983420574438,0.668727946526557,0.698686407570744,0.683535001985178,0.715903913917978,0.686978503254625,0.695242906301297,0.774787785625517,0.767556432959679,0.73518752102688,0.685601102746846,0.765834682324956
"Kentucky","KY",0.664105258077738,0.646658617043284,0.65504206792997,0.643033340984176,0.63623594837335,0.63464989009749,0.642580181476788,0.692201147535821,0.690161929752573,0.701717497190978,0.70828831004811,0.705116193496391,0.71961729773282,0.634876469851185,0.6303448747773,0.650510472856085,0.666824215122069,0.613577973003929,0.594771853447309,0.596811071230557,0.708061730294416,0.714405963397853,0.647111776550672,0.635556209112267,0.638728325663986,0.638954905417681
"Louisiana","LA",0.644561040382169,0.644130902884416,0.628000746718696,0.626495265476562,0.629721296709706,0.640044596655767,0.576814384486145,0.599611671867029,0.631871984198469,0.631011709202964,0.682628208933268,0.682843277682144,0.694241921372586,0.646281590373179,0.664992571525414,0.713383040022574,0.772526945963547,0.727792646197283,0.704565221318647,0.644130902884416,0.702414533829884,0.796399577088812,0.755536514802322,0.835972226882045,0.774462564703433,0.810163977016893
"Maine","ME",0.750325730082724,0.815734886913582,0.849567209412302,0.79468366402549,0.808216593024978,0.799194640358653,0.839041597968256,0.84505623307914,0.854078185745465,0.857837332689767,0.825508668968768,0.848815380023442,0.86310013841179,0.773632441137398,0.887910508244185,0.910465389909999,0.840545256745977,0.843552574301419,0.914224536854301,0.838289768579396,0.966100764685671,0.958582470797067,0.904450754799115,0.72626718963919,0.774384270526258,0.756340365193607
"Maryland","MD",0.658087710559204,0.648215558277741,NA,0.670804381294647,0.696907021225295,0.651227401346662,0.629475201404456,0.641355249065199,0.697408995070115,0.757645856448532,0.739240148805127,0.75178949492563,0.741415368799347,0.68184780588069,0.700086188909156,NA,0.759988401057692,0.705942550432057,0.600528043019828,0.614415986059852,0.698412942759755,0.748610327241769,0.754634013379611,0.743590588793568,0.697910968914935,0.657251087484504
"Massachusetts","MA",0.783644221372525,0.785423209389261,0.763630606184237,0.759627883146579,0.733091311896923,0.75399442109358,0.747619714033606,0.763037610178658,0.774601032287446,0.824116198753285,0.815221258669602,0.774156285283262,0.827822423788153,0.771487803258157,0.812997523648681,0.817444993690522,0.790908422440866,0.72953333586345,0.706258242644478,0.742282749983396,0.793725153467366,0.806326318585918,0.770894807252578,0.734277303908081,0.720638395779766,0.725085865821608
"Michigan","MI",0.73310698003618,0.741987009525951,0.74158337182187,0.740675186987689,0.714136007944397,0.713328732536236,0.708989627217371,0.713530551388277,0.72483240710253,0.70787962353115,0.742592466082071,0.716860562446941,0.747637937383077,0.885984760456664,0.889920228071448,0.901827540341823,0.92493579890043,0.845217352344535,0.823622735176229,0.780433500839617,0.845419171196575,0.90838665303313,0.83331004007416,0.826448199104792,0.840070971617509,0.875389270724551
"Minnesota","MN",0.644839370128087,0.675441295337348,0.672875864481482,0.66554606203615,0.62724784425929,0.623766188097757,0.644656125066953,0.653451888001352,0.702378319323943,0.700912358834877,0.724184481598806,0.708791896463609,0.765048130231532,0.667745002769749,0.749472300035201,0.765231375292665,0.772927667860264,0.713739513114208,0.748739319790668,0.770545482065531,0.840361850357319,0.879942783562112,0.819471913388122,0.773110912921397,0.719786600131607,0.763948659864732
"Mississippi","MS",NA,NA,NA,NA,0.560439454002383,0.59584266146618,0.585154900722392,0.580479005396985,0.641599637150523,0.657297285742961,0.666315083870533,0.667985046486749,0.654959338080258,NA,NA,NA,NA,0.677336837137564,0.674330904428373,0.717415939926769,0.799912093167882,0.83230936792249,0.788222354854364,0.748477244588403,0.778536571680306,0.752485154867323
"Missouri","MO",0.679960333723147,0.683918385629369,0.676661957134628,0.687216762217888,0.672868824057831,0.668086178004479,0.686886924559036,0.686557086900184,0.674023255863813,0.739660949975336,0.744938352516966,0.713438856096612,0.750545592717448,0.632133873189624,0.593872704762806,0.648625756132218,0.617621016200142,0.59898518847501,0.566001422589823,0.62091939278866,0.660005155362608,0.716407395026279,0.650604782085329,0.647306405496811,0.581009036067583,0.607725886434585
"Montana","MT",0.692667590874764,0.684851877578575,0.692667590874764,0.630141884505251,0.677036164282386,0.633072776991322,0.678990092606433,0.676059200120362,0.71025294579119,0.697552411684882,0.763009010540466,0.777663472970821,0.773755616322726,0.772778652160703,0.804041505345459,0.853866677608665,0.918346312302226,0.880244709983304,0.886106494955446,0.863636319228902,0.901737921547824,0.948632201324959,0.810880254479625,0.91150756316806,0.838235251016287,0.816742039451767
"Nebraska","NE",0.667019930342923,0.677649730029662,0.707413169152534,0.710070619074219,0.635130531282703,0.655858640671846,0.638319471188725,0.687216549747728,0.633004571345355,0.709539129089882,0.66755142032726,0.665425460389912,0.697846349434468,0.743022998103112,0.732393198416372,0.67286632017063,0.678181220013999,0.671271850217619,0.674460790123641,0.707944659136871,0.725483828619992,0.773849417194658,0.676055260076652,0.602709642238147,0.654264170718835,0.637256491220051
"Nevada","NV",NA,0.468810703677469,0.503328696885878,0.485013027020192,0.451903931493759,0.467754030415988,0.484660802599698,0.505442043408842,0.528688855161444,0.551231218073058,0.578704722871587,0.560036828585407,NA,NA,0.520939917910577,0.559684604164913,0.602303759044683,0.545595627345154,0.549470095970588,0.492409739850565,0.593850372952828,0.563559072790346,0.621676102171851,0.69705212815756,0.593498148532334,NA
"New Hampshire","NH",0.684346626088228,0.737104625896792,0.740873054454546,0.76046888295487,0.682085568953575,0.728060397358181,0.766498368647277,0.76875942578193,0.783079454301397,0.826039539859799,0.814734254186536,0.798906854243967,0.878043853956812,0.634603369125868,0.693390854626839,0.774035225762786,0.801167911378619,0.697159283184593,0.755946768685565,0.719769854531121,0.816241625609638,0.85166485405253,0.841113254090818,0.824532168436698,0.860709082591141,0.862216454014243
"New Jersey","NJ",0.758767869279803,0.757313433670744,0.759103508266509,0.732364268992272,0.716365477292624,0.749481857314273,0.735161260548154,0.738070131766272,0.761005462524509,0.775549818615098,0.790765452679098,0.77834681017098,0.764921250702744,0.814483941072982,0.866396104350161,0.920657740534281,0.941914876358988,0.771745910099097,0.710323975531918,0.737958252104037,0.843684532916395,0.879709784156162,0.821979878442747,0.819630405535806,0.775549818615098,0.817057173304394
"New Mexico","NM",0.565792022524276,0.542297269046573,0.546612631930233,0.537981906162914,0.514007667920359,0.564353568229723,0.547092116695084,0.560038205346063,0.595520077945043,0.597438017004448,0.641071130605896,0.621412255247002,0.653058249727173,0.604150803712363,0.553325418638148,0.607986681831172,0.615178953303938,0.650660825902918,0.645865978254407,0.615658438068789,0.685183728972196,0.70484260433109,0.65593515831628,0.656894127845982,0.664086399318748,0.533666543279254
"New York","NY",0.723581269474923,0.725404402572704,0.711781546925395,0.712541185716137,0.717554801735035,0.706666645734398,0.71036355451601,0.729455809456662,0.738976615633964,0.755536741272143,0.776249558966379,0.740749106145696,0.782579882222563,0.697956120933888,0.772755220528965,0.758271440918814,0.782630524808613,0.73254500720568,0.717909299837382,0.728139102219376,0.813016076438299,0.840869498765511,0.815497563154723,0.800102216995682,0.754371961793005,0.793619965981349
