"Type","County","State","lat","lon"
"Pizza Hut","Dallas","TX",32.8935,-96.8038
"Pizza Hut","Newport News","VA",37.0533,-76.4622
"Pizza Hut","Fort Collins","CO",40.5757,-105.058
"Pizza Hut","Corona","CA",33.8773,-117.582
"Pizza Hut","Cleveland","OH",41.4183,-81.7629
"Pizza Hut","El Paso","TX",31.9228,-106.439
"Pizza Hut","Ironton","OH",38.5386,-82.6772
"Pizza Hut","Greensburg","PA",40.3032,-79.5082
"Pizza Hut","Miami","FL",25.7009,-80.3675
"Pizza Hut","Hot Springs","AR",34.4767,-93.0601
"Pizza Hut","Red Oak","TX",32.532,-96.8127
"Pizza Hut","Hamilton","OH",39.4224,-84.5871
"Pizza Hut","Grants","NM",35.1506,-107.849
"Pizza Hut","Friendswood","TX",29.509,-95.1887
"Pizza Hut","Brownsburg","IN",39.8382,-86.3827
"Pizza Hut","Waupaca","WI",44.3574,-89.1026
"Pizza Hut","Orlando","FL",28.5599,-81.344
"Pizza Hut","Oakland","CA",37.7414,-122.151
"Pizza Hut","Thomaston","GA",32.9185,-84.3338
"Pizza Hut","Summerville","GA",34.4901,-85.3416
"Pizza Hut","Charlestown","IN",38.4541,-85.6706
"Pizza Hut","Hagerstown","MD",39.6253,-77.7308
"Pizza Hut","Aurora","CO",39.6968,-104.819
"Pizza Hut","Wauwatosa","WI",43.0353,-88.0483
"Pizza Hut","Ocoee","FL",28.5521,-81.5116
"Pizza Hut","Houston","TX",29.6884,-95.5698
"Pizza Hut","Cobleskill","NY",42.6777,-74.4844
"Pizza Hut","West Monroe","LA",32.5028,-92.1576
"Pizza Hut","Park Rapids","MN",46.9222,-95.0582
"Pizza Hut","Coolidge","AZ",32.9778,-111.524
"Pizza Hut","Oak Hill","WV",37.9861,-81.1454
"Pizza Hut","Wagoner","OK",35.9597,-95.395
"Pizza Hut","Chapel Hill","NC",35.9291,-79.034
"Pizza Hut","Grundy","VA",37.3114,-82.1631
"Pizza Hut","Waxahachie","TX",32.4248,-96.8584
