"Type","County","State","lat","lon"
"Taco Bell","Aurora","IN",39.0712,-84.8932
"Taco Bell","Redding","CA",40.5882,-122.35
"Taco Bell","Palm Coast","FL",29.5501,-81.2298
"Taco Bell","Plano","TX",33.0132,-96.7955
"Taco Bell","Avon","IN",39.763,-86.3412
"Taco Bell","Jackson","OH",39.0401,-82.6284
"Taco Bell","Corinth","MS",34.9238,-88.5165
"Taco Bell","Hastings","MI",42.6488,-85.3007
"Taco Bell","Latrobe","PA",40.2847,-79.3903
"Taco Bell","Irving","TX",32.801,-96.96
"Taco Bell","Midlothian","VA",37.4423,-77.5847
"Taco Bell","Richmond","VA",37.5063,-77.5836
"Taco Bell","Norman","OK",35.2281,-97.4791
"Taco Bell","Portland","OR",45.5304,-122.579
"Taco Bell","Adrian","MI",41.8838,-84.0434
"Taco Bell","Charleston","SC",32.7949,-79.992
"Taco Bell","Dallas","TX",32.9265,-96.8042
"Taco Bell","Owings Mills","MD",39.4159,-76.7749
"Taco Bell","McDonough","GA",33.4243,-84.1841
"Taco Bell","Pensacola","FL",30.3903,-87.2781
"Taco Bell","Wytheville","VA",36.9667,-81.0663
"Taco Bell","Bridgeville","PA",40.3692,-80.1016
"Taco Bell","Billings","MT",45.7842,-108.542
"Taco Bell","Las Vegas","NV",36.1589,-115.318
"Taco Bell","Kings Bay","GA",30.793,-81.5728
"Taco Bell","Joplin","MO",37.0801,-94.4771
"Taco Bell","Mount Clemens","MI",42.6034,-82.8992
"Taco Bell","La Grange","KY",38.4009,-85.3774
"Taco Bell","Los Angeles","CA",34.0695,-118.277
"Taco Bell","Huntsville","AL",34.6903,-86.5816
"Taco Bell","Colorado Springs","CO",38.8145,-104.76
"Taco Bell","Bellflower","CA",33.8891,-118.115
"Taco Bell","San Pedro","CA",33.7344,-118.292
"Taco Bell","Duluth","MN",46.8038,-92.152
"Taco Bell","Houston","TX",29.5525,-95.1235
"Taco Bell","Stanton","CA",33.8122,-117.993
"Taco Bell","Wilkes Barre","PA",41.2205,-75.8837
"Taco Bell","Oneida","NY",43.0778,-75.6416
"Taco Bell","Hampton","VA",37.043,-76.382
"Taco Bell","Uhrichsville","OH",40.4102,-81.3493
"Taco Bell","Goose Creek","SC",32.9835,-80.042
"Taco Bell","Madison","WI",43.0273,-89.5077
"Taco Bell","Columbiana","OH",40.9003,-80.6996
"Taco Bell","Dripping Springs","TX",30.1969,-98.0101
"Taco Bell","Dickinson","TX",29.4489,-95.077
"Taco Bell","Kansas City","MO",39.1437,-94.5689
"Taco Bell","Salina","KS",38.8404,-97.594
"Taco Bell","Chillicothe","OH",39.3577,-82.9763
"Taco Bell","Boaz","AL",34.2011,-86.1512
"Taco Bell","Jacksonville","FL",30.1796,-81.5529
"Taco Bell","Clare","MI",43.843,-84.7683
"Taco Bell","Oklahoma City","OK",35.3642,-97.5301
"Taco Bell","Fayetteville","NC",35.0684,-78.8963
"Taco Bell","Forest Hills","NY",40.7163,-73.8332
"Taco Bell","Olivette","MO",38.6915,-90.3892
"Taco Bell","Portland","TX",27.8817,-97.32
"Taco Bell","Clinton","MA",42.432,-71.6868
"Taco Bell","Marysville","CA",39.1255,-121.574
"Taco Bell","Hartland","MI",42.6355,-83.7434
"Taco Bell","Carpinteria","CA",34.3959,-119.513
"Taco Bell","Manchester","NH",42.9615,-71.439
"Taco Bell","San Jose","CA",37.3067,-121.978
"Taco Bell","Charlotte","NC",35.274,-80.7935
"Taco Bell","Ferndale","MI",42.4601,-83.1474
"Taco Bell","Chicago","IL",41.7037,-87.6815
"Taco Bell","Taylor","MI",42.2315,-83.2298
"Taco Bell","Jamestown","ND",46.8989,-98.7078
"Taco Bell","Elizabethtown","KY",37.7125,-85.8319
"Taco Bell","Ripley","MS",34.7294,-88.9464
"Taco Bell","Griffith","IN",41.551,-87.4276
"Taco Bell","Shreveport","LA",32.3982,-93.7513
"Taco Bell","Eau Claire","WI",44.7991,-91.5024
"Taco Bell","Nevada","MO",37.8379,-94.3504
"Taco Bell","Blair","NE",41.5437,-96.1412
"Taco Bell","Holton","KS",39.4587,-95.7476
"Taco Bell","Mountain View","AR",35.8652,-92.1082
"Taco Bell","Glendora","CA",34.1067,-117.864
"Taco Bell","Garland","TX",32.9122,-96.631
"Taco Bell","Clinton","SC",34.4725,-81.8808
"Taco Bell","Hampton Bays","NY",40.8655,-72.5506
"Taco Bell","Fort Collins","CO",40.5285,-105.077
"Taco Bell","Siloam Springs","AR",36.1751,-94.5519
"Taco Bell","Garland","TX",32.8625,-96.644
"Taco Bell","Largo","FL",27.8949,-82.7844
"Taco Bell","East Lansing","MI",42.7199,-84.4965
"Taco Bell","Louisville","KY",38.2969,-85.5591
"Taco Bell","Liverpool","NY",43.1005,-76.1843
"Taco Bell","Santa Fe Springs","CA",33.9388,-118.047
"Taco Bell","Harrison","OH",39.2534,-84.7956
"Taco Bell","San Diego","CA",32.9365,-117.095
"Taco Bell","Biloxi","MS",30.4395,-88.8963
"Taco Bell","Santa Fe","NM",35.6756,-105.957
"Taco Bell","Clemson","SC",34.6926,-82.8462
"Taco Bell","Miami","FL",25.7613,-80.3661
"Taco Bell","Lemoore","CA",36.3127,-119.781
"Taco Bell","Clarksburg","WV",39.2791,-80.2807
"Taco Bell","South Milwaukee","WI",42.93,-87.861
"Taco Bell","Titusville","PA",41.6276,-79.6674
"Taco Bell","Alpharetta","GA",34.0715,-84.2963
"Taco Bell","Lowell","AR",36.2543,-94.1373
"Taco Bell","Bartow","FL",27.9037,-81.8392
"Taco Bell","South Lake Tahoe","CA",38.917,-120.009
"Taco Bell","Norwalk","CA",33.9251,-118.106
"Taco Bell","Lamont","CA",35.2588,-118.914
"Taco Bell","Medina","OH",41.1537,-81.8635
"Taco Bell","Pennsauken","NJ",39.9735,-75.0595
"Taco Bell","Spokane","WA",47.6432,-117.557
"Taco Bell","Riverview","FL",27.8572,-82.3276
"Taco Bell","Tacoma","WA",47.1607,-122.434
"Taco Bell","Houston","TX",29.7369,-95.562
"Taco Bell","Spokane","WA",47.6571,-117.263
"Taco Bell","Lexington","KY",38.036,-84.4545
"Taco Bell","Knoxville","TN",35.9514,-84.1545
"Taco Bell","Sandy","UT",40.5582,-111.891
"Taco Bell","Ironton","OH",38.5415,-82.6724
"Taco Bell","Loveland","OH",39.2512,-84.2959
"Taco Bell","Houston","TX",29.9358,-95.5802
"Taco Bell","Sun City","AZ",33.6024,-112.289
"Taco Bell","Louisville","KY",38.2391,-85.7221
"Taco Bell","Galt","CA",38.253,-121.299
"Taco Bell","San Jose","CA",37.2996,-121.823
"Taco Bell","Osceola","IA",41.0246,-93.7972
"Taco Bell","White Oak","TX",32.5206,-94.861
"Taco Bell","Suisun City","CA",38.2439,-122.02
"Taco Bell","Pigeon","MI",43.8326,-83.2703
"Taco Bell","Mission","TX",26.2296,-98.3236
"Taco Bell","Castle Rock","CO",39.3801,-104.862
"Taco Bell","Richmond","IL",42.4839,-88.3062
"Taco Bell","Cupertino","CA",37.3131,-122.033
"Taco Bell","Seattle","WA",47.5068,-122.355
"Taco Bell","Avondale","AZ",33.4933,-112.291
"Taco Bell","Whittier","CA",33.9903,-118.065
"Taco Bell","Miami","FL",25.8115,-80.3693
"Taco Bell","Blaine","MN",45.1625,-93.2663
"Taco Bell","Chatsworth","GA",34.7845,-84.7715
"Taco Bell","Branson West","MO",36.6963,-93.3625
"Taco Bell","New Braunfels","TX",29.6824,-98.1242
"Taco Bell","Seminole","FL",27.8414,-82.7943
"Taco Bell","Anaheim","CA",33.8553,-117.837
"Taco Bell","Hialeah","FL",25.8666,-80.3043
"Taco Bell","Reno","NV",39.5265,-119.828
"Taco Bell","Parma","OH",41.3614,-81.6864
"Taco Bell","Sugar Creek","MO",39.1028,-94.4497
"Taco Bell","Aurora","CO",39.7402,-104.863
"Taco Bell","Cranston","RI",41.7718,-71.4526
"Taco Bell","Centralia","IL",38.5297,-89.153
"Taco Bell","Galax","VA",36.6878,-80.8856
"Taco Bell","Morgan City","LA",29.6932,-91.1771
"Taco Bell","Poplar Bluff","MO",36.7574,-90.4078
"Taco Bell","Rock Springs","WY",41.5772,-109.251
"Taco Bell","Brooklyn","NY",40.6489,-73.8922
"Taco Bell","Hanover","PA",39.8191,-76.9953
